Date,Close,Open,High,Low,Volume,Change_pct
30.12.2024,191.45,190.55,194.1,188.75,196230,0.47%
27.12.2024,190.55,187.3,191.15,184,238570,1.74%
23.12.2024,187.3,187.3,189.35,186.15,169890,0.00%
20.12.2024,187.3,188,188.7,182.85,805200,-0.74%
19.12.2024,188.7,190,192.9,187.8,299690,-1.67%
18.12.2024,191.9,189.45,195.5,189.45,500530,1.29%
17.12.2024,189.45,189,192.9,186.7,353140,0.08%
16.12.2024,189.3,184.5,190,184.05,250390,3.10%
13.12.2024,183.6,200,202,178.25,1090000,-3.87%
12.12.2024,191,195.65,196.6,183.55,624000,-2.35%
11.12.2024,195.6,194,195.95,192,352980,0.82%
10.12.2024,194,194.1,196.7,188.1,451480,-0.15%
9.12.2024,194.3,199.85,202,191.1,545510,-2.78%
6.12.2024,199.85,193,200,191.8,853410,3.55%
5.12.2024,193,180.25,193,180.25,641580,7.28%
4.12.2024,179.9,179.45,183.3,177.3,599690,0.25%
3.12.2024,179.45,170.2,179.45,170,584970,5.43%
2.12.2024,170.2,168.75,170.5,167.45,197780,1.79%
29.11.2024,167.2,164.8,168.45,164.7,263150,1.46%
28.11.2024,164.8,165.95,168.4,163.55,244590,0.12%
27.11.2024,164.6,172.2,173,158,801470,-4.41%
26.11.2024,172.2,166.25,172.35,165,404810,4.02%
25.11.2024,165.55,161.4,166.15,161.4,605190,2.92%
22.11.2024,160.85,160.75,161.85,157,327120,0.53%
21.11.2024,160,159.15,160.8,157.05,260380,1.27%
20.11.2024,158,153.1,159.15,153,254540,2.86%
19.11.2024,153.6,157.25,157.65,150.3,243570,-1.70%
18.11.2024,156.25,155.7,159.25,155.2,184640,0.26%
15.11.2024,155.85,161.9,162,155.85,248280,-3.71%
14.11.2024,161.85,158.75,161.85,158.2,193780,2.11%
13.11.2024,158.5,161.4,161.4,156.7,298740,-1.80%
12.11.2024,161.4,161,162.3,159.55,173540,0.25%
8.11.2024,161,163,164.6,160.5,197930,-1.23%
7.11.2024,163,160,163,159.9,180620,2.10%
6.11.2024,159.65,160.7,161.95,158.85,229350,-1.11%
5.11.2024,161.45,161.8,163.2,159.3,202230,0.53%
4.11.2024,160.6,161,161.8,157.6,331130,-0.09%
31.10.2024,160.75,159,161.2,156.55,314540,-0.12%
30.10.2024,160.95,162.8,163.65,159.35,197300,-1.14%
29.10.2024,162.8,160.5,162.8,159.7,199780,1.12%
28.10.2024,161,159.1,161.4,158.9,150810,1.45%
25.10.2024,158.7,159.35,160,157.45,199290,-0.38%
24.10.2024,159.3,159.9,161,158.05,201920,-1.12%
23.10.2024,161.1,158.65,161.1,158.05,255000,1.58%
22.10.2024,158.6,156.05,160,155.85,392410,1.41%
21.10.2024,156.4,160.45,161.35,155.3,237580,-2.52%
18.10.2024,160.45,157.6,160.6,152,332890,0.60%
17.10.2024,159.5,164.9,164.9,157.65,220490,-3.30%
16.10.2024,164.95,164.6,164.95,160.95,216380,-0.03%
15.10.2024,165,160.75,165.45,160.45,309320,2.64%
14.10.2024,160.75,162.15,164,159.6,283860,-0.25%
11.10.2024,161.15,168.55,169.7,156.75,803220,-4.39%
10.10.2024,168.55,171.1,172.15,168,245710,-1.78%
9.10.2024,171.6,170.3,173.35,168.9,268500,0.44%
8.10.2024,170.85,167.5,170.85,167.2,250900,1.24%
7.10.2024,168.75,171.8,173.35,167.95,184460,-1.03%
4.10.2024,170.5,168,172,168,402930,1.61%
3.10.2024,167.8,167.75,171.85,164.5,268260,-1.12%
2.10.2024,169.7,171.7,173,169.05,252350,-1.11%
1.10.2024,171.6,174.3,175.35,171.5,261610,-1.46%
30.9.2024,174.15,173.15,177.3,173.15,341530,-0.06%
27.9.2024,174.25,170,175,169.5,161870,1.40%
26.9.2024,171.85,172.6,175.75,171,295870,-0.15%
25.9.2024,172.1,171.5,172.3,169,296240,0.32%
24.9.2024,171.55,168,171.95,166.25,288600,2.36%
23.9.2024,167.6,175.7,175.7,165.25,528470,-4.61%
20.9.2024,175.7,176.2,177.8,173.55,897200,-1.18%
19.9.2024,177.8,176.45,180.1,175.45,287100,0.82%
18.9.2024,176.35,177,177.8,172.5,216790,-0.03%
17.9.2024,176.4,173.75,177,173.4,232810,2.02%
16.9.2024,172.9,170,174.25,169.75,248020,1.71%
13.9.2024,170,169,170.95,168.2,339280,1.34%
12.9.2024,167.75,167.95,171,165.9,349980,1.85%
11.9.2024,164.7,162,167.25,161.8,262770,1.54%
10.9.2024,162.2,165.8,166.35,160.5,655920,-2.41%
9.9.2024,166.2,168,169.55,164.15,589590,-2.66%
6.9.2024,170.75,173.1,175.2,167.2,339260,-2.23%
5.9.2024,174.65,177,178.4,174.1,181000,-1.52%
4.9.2024,177.35,175,177.5,172.75,286690,0.57%
3.9.2024,176.35,181.2,182.95,175.5,330570,-2.78%
2.9.2024,181.4,183.1,183.2,179.15,233330,-0.93%
30.8.2024,183.1,180,185.5,177.6,527820,1.10%
29.8.2024,181.1,180,182.2,172,493350,0.61%
28.8.2024,180,179.35,180.5,177.3,274030,0.33%
27.8.2024,179.4,179.4,180.95,177.65,258010,-0.44%
26.8.2024,180.2,181.45,182.8,178.2,149190,-0.69%
23.8.2024,181.45,185,186.6,181.2,270650,-1.92%
22.8.2024,185,180,187,179.4,405830,3.01%
21.8.2024,179.6,175.3,180.3,175,243300,2.45%
20.8.2024,175.3,179.85,180.1,170,392560,-2.53%
19.8.2024,179.85,178.9,181.1,178.15,328560,0.00%
16.8.2024,179.85,175,181.6,174,599640,3.18%
14.8.2024,174.3,171.5,175.45,171.5,677830,1.46%
13.8.2024,171.8,170.5,172.8,168,451900,0.79%
12.8.2024,170.45,164,170.5,163.05,548720,3.90%
9.8.2024,164.05,163.7,165.6,161.75,490670,0.21%
8.8.2024,163.7,156,163.8,154.25,746880,4.40%
7.8.2024,156.8,151,157.2,150.5,431600,4.22%
6.8.2024,150.45,151.8,153.2,148.9,810640,-0.66%
5.8.2024,151.45,149.95,153.35,145,1100000,-3.78%
2.8.2024,157.4,157.9,158.8,155.55,336900,-1.69%
1.8.2024,160.1,157.45,161.75,154.75,332120,0.66%
31.7.2024,159.05,157.3,159.2,156.6,237820,2.25%
30.7.2024,155.55,158.5,160.4,155.55,319130,-1.98%
29.7.2024,158.7,156.4,159.05,155.75,299420,2.09%
26.7.2024,155.45,157.25,158.95,155.1,151590,-1.14%
25.7.2024,157.25,152.4,159,150.6,337440,0.67%
24.7.2024,156.2,156.5,159.05,155.2,247530,-0.70%
23.7.2024,157.3,157.5,159.05,155.5,215290,-0.13%
22.7.2024,157.5,157.5,159,150.55,305770,0.00%
19.7.2024,157.5,160,161.2,157.15,355430,-2.66%
18.7.2024,161.8,161,163,158.1,294920,1.25%
17.7.2024,159.8,160,164.5,158.3,550080,-0.44%
16.7.2024,160.5,163.5,163.7,157.55,577200,-2.01%
15.7.2024,163.8,158.25,164,156.6,582920,3.31%
12.7.2024,158.55,150.15,159.15,149.25,773130,5.70%
11.7.2024,150,147.8,150.6,147.65,291450,1.59%
10.7.2024,147.65,147.4,149.95,146.35,418630,0.17%
9.7.2024,147.4,146.2,148.1,145.5,296140,0.75%
8.7.2024,146.3,144.7,146.9,143.5,219660,0.90%
5.7.2024,145,142,145.6,142,352760,2.11%
4.7.2024,142,143,143.25,140.35,139970,-0.53%
3.7.2024,142.75,140,142.8,139.25,235770,2.81%
2.7.2024,138.85,139,140.4,137,213920,0.40%
1.7.2024,138.3,139.85,140,137.1,219250,-0.47%
28.6.2024,138.95,138.5,139.55,137.25,284590,0.32%
27.6.2024,138.5,141.4,141.7,136.6,438880,-2.05%
26.6.2024,141.4,143.85,144.95,141.2,288940,-1.67%
25.6.2024,143.8,143,145.4,140.9,370860,0.45%
